doc115-1|null|null|售后就更别提了，一买奔驰深似海啊！
doc29147-3|null|null|今晚阅读了一篇解读当年在手机领域遥遥领先的诺基亚衰败历程，忽然对丰田品牌产生了强烈危机感。
doc29187-4|null|null|档杆就跟根钢筋棍似的，换档都要咔啦咔啦的！
doc29225-3|null|null|本田曾引以为豪的工程领先如今已不见踪影：老迈的2.4发动机急加速时显得粗鲁。
doc29287-2|null|null|半个鸟笼的设计很独特，但座位的格局有点太开放式，缺乏点隐私感…
doc29326-2|null|null|至于整车可靠性的问题，恐怕不只是新帕萨特，而是整个大众-奥迪车系都不得不正视的问题。
doc29511-2|null|null|我感觉是雅阁史上最丑的，此前八代应该说是代代给人惊喜，但是这款的话，前景不看好。
doc29655-1|null|null|永达福特维修技术太差。
doc29784-1|null|null|长安福特坑爹的很，一车两卖也做。
doc29784-2|null|null|所谓的4s店，什么服务质量，什么质量保证，哎！
doc29965-1|null|null|这么多单消息，从逍客到奇骏，对日产的安全性高度不信任。
doc29969-1|null|null|奔驰也是这么落后的的确，这个功能有点傻。
doc29980-1|null|null|别克通海的服务起来越差，真是忍无可忍了。
doc30003-1|null|null|今天做保养在八下里丰田再次感脚到了被无视的滋味，每次来做保养要么就是排队等半天被晾着没人管，今天算是极致了，进去跟三个接待说做保养，一个让我找其他人，另外两个顿了顿抬头看了我下反应都没，管自己继续聊天，哥真是无语了，既然你们都那么忙不待见我，我还是跑去其他4s店吧，再也不来了
doc30354-1|null|null|估计销量不行，才采取的极端手段要真打起来了，真是怎么死得都不知道~~
doc30452-3|null|null|md明天去砸三菱4s店去md，谁以后说望子成龙我就拉黑他。
doc30571-1|null|null|好眼力啊我真是交友不慎比起吉利、比亚迪、奇瑞来，差远了。
doc30575-2|null|null|日本车真脆弱啊！
doc30575-3|null|null|本田后备箱迅速折叠起来，标致前机箱盖也冒烟了。
doc30680-1|null|null|就舒适性帕萨特和迈腾还没资格拿天籁开唰，悬挂座椅柔软日产都是强手，何况还有家居化的理念总，别拿天籁来比，那么烂的车！
doc30809-3|null|null|粉色奥迪曾是我的最爱，但是超级不适用，后排恐怕只能坐小朋友这个车队一万
doc30860-1|null|null|我以前在长安福特的时候累死累活挣不到几个钱，自从离开长安福特，嘿，腰不酸了，腿不疼了，上楼也有劲儿了，关键是试用期1w2，转正翻翻哦，大家都来吧，亲！！！！
doc30877-1|null|null|失望原来起亚k5真的是一辆中看不中用的车主打的是外形而不是性能好不容易在20万左右的车里面挑出好看的可惜性能不行
doc30888-1|null|null|从一汽、上海大众，福特4s店归来，重新整理了行情和感受，新朗逸首选，新福和新速腾备选，crosspolo空间实在不感恭维，a0级小车还是太mini了，后排空间1米75的个子就触顶了。
doc31031-1|null|null|以前听说奥迪保养贵，没想到这么贵！
doc31031-2|null|null|今天奥迪a6l去做保养，机油三滤+清洗节气门，花掉3217块，好贵啊！
doc31075-1|null|null|今天严重堵车的时候看到这样的一个女司机开着一辆我们都认为性能还不错的奥迪a4，我想了半天也不知道她怎么开翻的''尤其在严重堵车的情况下''还在一个禁止左转的路口''十分不理解''只能证明我们国家现在的马路杀手越来越多''培训驾驶员机制看来还需改善啊''晕倒
doc31086-2|null|null|连车架都能拽出来。
doc31098-1|null|null|今天去广汽丰田ssss第一店''直接遭到无视''首先我检讨是不是自己衣冠不整''毫不怀疑其服务态度''丝看车伤不起我在:
doc31215-1|null|null|马自达日产本田丰田什么的怎么感觉很不靠谱。。
doc31321-1|null|null|只是也太坑爹了吧，比国产的分量少那么多还每瓶8.8元，就多了个带回家的玻璃瓶。
doc31578-1|null|null|想买奥迪的朋友请看过来，奥迪售后确实差，跟宝马奔驰没法比。
doc31585-1|null|null|不想当小说家的食品老板决不是好司机蒙a牌子好眼力啊我真是交友不慎比起吉利、比亚迪、奇瑞来，差远了。
doc31586-1|null|null|近日有报道称，因中日关系紧张，日产汽车在中国市场的销量受到影响。
doc31587-1|null|null|鬼子车后期费用还真不便宜，快赶上宝马了。
doc31587-2|null|null|价格1051，看了配件表，斯博睿才700多，crv800多，思域刚调的价格，无非低端车上大挣保养钱。
doc31800-3|null|null|这样，与主要竞争对手国产宝马x1相比，价格门槛更低、低端车型直线加速性更好，将成为国产奥迪q3的制胜卖点。
doc31968-1|null|null|东风日产经销商库存压力明显减小，但东风本田、广汽本田、一汽丰田和广汽丰田经销商的库存依旧消化缓慢。
doc32024-1|null|null|如果奥迪a5不那么烧机油，如果宝马5系的保养成本不那么高，如果捷报xf空间再大点，如果奔驰e级的屁股不那么翘，如果英菲尼迪不是日本车。。。。
doc32194-1|null|null|刚刚买的奥迪a6品牌值得信赖，但是位于湖里的奥迪经销商无德。
doc32419-1|null|null|讨厌东风本田！
doc32488-1|null|null|最恶心就国家队，自主看好吉利早已多年不看国家队甭吹牛逼，有能耐不抄日本人，不恬着脸要日本人技术。
doc32514-1|null|null|suv市场目前不是你的，是要去抢的，现在你的营销比本田，丰田和上海大众强吗？
doc32514-2|null|null|把负责销售的总监撤了吧福特因削减成本关闭欧洲几家工厂，唯中国加大产能，推翼虎suv、新款蒙迪欧。
doc32744-1|null|null|奇瑞的人才流动太大，销售层面、技术层面无一例外。
doc32744-2|null|null|留住人才，奇瑞从政策、执行到企业内部与人才的合作氛围，并不突出。
doc32801-1|null|null|他还借口说，国产车质量差，德国车太贵买不起！
doc33025-1|null|null|改到后来车尾还是那么难看！
doc33025-2|null|null|几年前就没看好奇瑞的冒进政策，现在醒也许还来的及，学学吉利和长城。
doc33317-2|null|null|美中不足的是根据目前得到的消息这辆车是双离合的。
doc34370-1|null|null|难怪怎么看这假丰田都不顺眼，苏f01r96，这种无耻无赖无节操无底线的人渣就该po上来曝光！！
doc34615-3|null|null|交通如此多焦，引无数大款上公交。
doc35033-1|null|null|既速腾，迈腾后，大众推出新车蛋疼…
doc35221-1|null|null|这个真的要注意，年终岁末盗窃高发，尤其是本田车系，防盗功能不敢恭维，我是中过招的人啊，伤不起啊。
doc35230-1|null|null|参观人数并不多，无论规模还是档次，配不上“国际”的标准，老王卖瓜罢了。
doc38146-1|null|null|不要把奥拓当奥迪用就行了。
doc38391-1|null|null|这奥迪车烧机油不是盖的啊！
doc39017-2|null|null|继3.0t级别之后，宝马又一次被奥迪秒杀奥迪新s8、宝马alpinab7豪华轿跑对比测试
doc40495-1|null|null|设计能力哪去了请问？
doc40495-2|null|null|诸位有没有发现大众从辉腾到帕萨特到迈腾，再到速腾、宝来、捷达和朗逸以及新桑塔纳，那个外形是越来越趋同。
doc40807-1|null|null|吉利吉利，三年报废。
doc41008-1|null|null|新帕萨特，新迈腾，新速腾，新朗逸，新宝来，明天晚上是新桑塔纳，大众车子都变一个外形了，设计师真省事啊。
doc42084-1|null|null|本田思域2012年2.0版，电池第三次发生没电问题，早上一天都好好的。
doc42390-1|null|null|新上市的seatleon几乎是和大众gti如出一辙，但是销量可以说是相当惨。
doc43899-1|null|null|大众跟肯德基一样，越来越没有底线了！
doc43920-1|null|null|感觉byd、长城都单一。
doc43961-2|null|null|惜奥迪a6，慢如蜗牛。
doc44192-1|null|null|减重对辉腾来说是非常必要的，因为辉腾是这个级别里最重的，不符合节能减排理念
doc44761-1|null|null|这材质保养太费劲了!
doc44832-1|null|null|话说我最不喜欢的红旗
doc44851-1|null|null|美车不及日德
doc44853-1|null|null|不太稀饭别克!
doc44881-2|null|null|绝对比宝马实惠!
doc44883-1|null|null|怪不得我不喜欢奥迪a6
doc44929-2|null|null|我现在贼讨厌宝马
doc44962-1|null|null|我不喜欢奥迪a4。
doc44995-1|null|null|偶也不喜欢丰田其实我不大喜欢奥迪。。
doc45008-1|null|null|对比几种越野车大众途锐奥迪q系列还有保时捷的卡宴做得太圆润了相对来说更喜欢梅赛德斯ml宝马x以及路虎的风格线条不要设计的太柔顺越野要有越野像
doc45183-1|null|null|奥迪略平庸。
doc45204-1|null|null|而奥迪a3在中国的售价可以买两部这样的车。
doc45248-3|null|null|我觉得奥迪的操控好让人难受...
doc45276-2|null|null|引擎自动熄火和重启的顿挫感比宝马1系列差一些。
doc45280-1|null|null|(ft)我说我怎么从来不喜欢奥迪呢。
doc45286-1|null|null|还有大众的车太死板不太喜欢
doc45321-1|null|null|维护挺贵的…
doc45321-2|null|null|奥迪喜欢烧机油…
doc45321-4|null|null|奔驰的保养费用老高了…
doc45321-5|null|null|而且国产的质量不见得好一点…
doc45380-1|null|null|我不喜欢tt的外形…
doc45381-1|null|null|我为什么不喜欢前驱车?
doc45384-3|null|null|之前开过一段时间s8只能用一般般形容
doc45393-3|null|null|给q5配的这轮毂比国产的丐版还难看#奥迪科技日-e创未来都市生活#用#ipad2#拍摄的奥迪体育公园试驾现场停放着的的e-tron。
doc45402-1|null|null|奥迪脑子被枪打过了
doc45410-2|null|null|我不喜欢跑车!
doc45438-2|null|null|我只能说a7比a8难看多了
doc45454-1|null|null|奥迪旧车故障率太高了
doc45464-1|null|null|我一点都不喜欢本田!
doc45477-1|null|null|奥迪坐起来一点都不舒服
doc45496-3|null|null|不喜欢宝马奔驰…
doc45498-1|null|null|但其实却失去了一些操控及安全性
doc45528-1|null|null|好纠结啊买a4还是325选不好啊奥迪么烧机油那么厉害宝马么本人不太喜欢大家给个意见
doc45537-1|null|null|我不喜欢马自达!
doc45540-3|null|null|没有办法不喜欢奔驰了!
doc45791-1|null|null|粉红配在奥迪上好弱智。
doc45828-1|null|null|奔驰你好慢啊!
doc46047-1|null|null|悍马不好看!
doc46082-1|null|null|为什么奥迪宝马后面都那幺小
doc46119-1|null|null|沃尔沃表示处境很尴尬
doc46165-3|null|null|缺陷目前感觉a柱视觉不太好
doc46219-1|null|null|虽然我不喜欢比亚迪
doc46261-1|null|null|感觉这个车不符合中国国情
doc46273-2|null|null|奥迪a3就是屎
doc46275-1|null|null|真不怎么喜欢雪弗兰这个品牌
doc46353-1|null|null|韩国车连韩国人自己都说是山寨车呢
doc46377-1|null|null|想买台30万左右的suv森林人的外观不喜欢rav4的4速变速箱很无语途观的加价和性价比很无奈现在考虑bmwx1或是等奥迪q3国产这两款如何呢?
doc46417-2|null|null|浅色内饰丑丑丑!!!
doc46442-1|null|null|就是外形不够帅气。
doc46460-2|null|null|缺点就是内部空间小
doc46469-1|null|null|330i不敞篷时外观真心不喜欢
doc46481-1|null|null|我就一直不怎么喜欢奥迪车!
doc46484-1|null|null|不买奥迪
doc46558-1|null|null|我也不太喜欢大众
doc46591-1|null|null|大户还是奥迪靠谱准备入手a4了不喜欢宝马嗯
doc46603-2|null|null|不喜欢桑塔纳夏利…
doc46616-2|null|null|难看的运动屁股有木有!
doc46619-1|null|null|现代安防性能太差
doc46625-1|null|null|大下雨天的打车回家路上堵车司机不送了只得自己走回家尼玛一辆奥迪停在前面问要不要送啊姐鸟都没鸟就走了那车看起来好难看不是姐喜欢的车型估计值不了多少钱。
doc46634-1|null|null|路虎一下变成qq了!
doc46645-1|null|null|二、前大灯越改越小气;
doc46645-4|null|null|不喜欢奥迪的原因:一、拿千篇一律当卖点;
doc46665-1|null|null|虽然我不喜欢奥迪!
doc46681-1|null|null|性价比太差!
doc46681-2|null|null|但q3定价有些高了!
doc46788-1|null|null|大众果然是恶霸!
doc46850-1|null|null|那车屁股不好看……
doc46869-1|null|null|不过那头部空间太坑爹了
doc46880-1|null|null|美国最权威的杂志《消费者报告》每年都把奥迪评为世界上质量最差、可靠性最差的车之一
doc46904-1|null|null|奥迪实在不够吸引若有兰博基尼则自动升为众妃之首
doc46909-1|null|null|我恨奥迪
doc46909-2|null|null|我恨沃尔沃
doc46937-1|null|null|我更不喜欢拖拉机
doc46943-1|null|null|噪音比奥迪大一些;
doc46956-1|null|null|可是a6的空间不会太小吗?
doc46965-2|null|null|丰田去死奔驰不喜欢奥迪
doc47014-1|null|null|大众就是喜欢用这个鬼地方!
doc47024-2|null|null|把你们的油耗在降低点
doc47087-1|null|null|#微博曝光台#]广汽丰田真坑!
doc47095-1|null|null|不是很喜欢后半部分~奥迪q3能否像q5一样奇货可居呢?
doc47109-1|null|null|合适合适~~嘿嘿我不喜欢奥迪
doc47122-1|null|null|4、价格不菲。
doc47122-3|null|null|3、座椅不舒服。
doc47130-1|null|null|#NAME?
doc47142-2|null|null|英菲尼迪和马自达貌似最霸气肿么没有奥迪的啦!
doc47145-1|null|null|貌似我现在最不喜欢奔驰
doc47160-1|null|null|价格还是有点贵。
doc47174-1|null|null|a6l我不喜欢
doc47195-1|null|null|比奔驰奥迪都要好…
doc47312-1|null|null|奥迪卖车的选配内饰太死板了。。
doc47321-1|null|null|神马奥迪、宝马、跑车都素浮云!
doc47339-2|null|null|可是奔驰公司真心的抠啊!
doc47341-1|null|null|奥迪小改款q5也是个改得很纠结的东西
doc47353-2|null|null|我这么喜欢的奥迪居然也有看起来这么不舒服的时候……
doc47361-1|null|null|以至于#a4l2.0t#的实际#提车价格#已经可以pk他大哥#a6l2.0t#了
doc47368-2|null|null|奥迪tt这类的小众车型其实保值率很低
doc47381-2|null|null|是不是进途观的时候会卡住啤酒肚?
doc47391-1|null|null|有个烂雷诺!
doc47408-2|null|null|q5跟x6根本不是一个等级的车。
doc47409-1|null|null|坐进去驾驭感不足
doc47421-1|null|null|虽然奥迪有数不清的缺点
doc47425-3|null|null|去死吧~tt没那么霸气、还是喜欢a8l!
doc47445-1|null|null|最后订了奥迪q5、好多人说烧机油
doc47460-2|null|null|反而宝马的外型不够大气~承你贵言!
doc47501-1|null|null|不要奥迪
doc47503-1|null|null|我讨厌宝马!
doc47503-2|null|null|我买不起保时捷哇!
doc47508-1|null|null|宝马坐着不舒服;
doc47532-2|null|null|大众有些车安全性也不行……
doc47542-1|null|null|奥迪烧机油不算缺点?
doc47587-1|null|null|还有路虎的发动机有点那个啥!
doc47602-1|null|null|电镀奥迪r8反光厉害容易追尾!!
doc47627-1|null|null|当初特想买s60这破车居然还自称安全系数高!
doc47633-1|null|null|这个玻璃颜色不喜欢看起来不是很符合奥迪的品质
doc47640-2|null|null|本来超级不喜欢那个怪模怪样的车
doc47666-1|null|null|q5太大了。
doc47678-1|null|null|适合开奥迪只能买起马自达。
doc47679-1|null|null|这价格宝马3系足够秒杀a4了!
doc47786-1|null|null|总觉得新a6的前大灯不如老款霸气
doc47825-1|null|null|宝马真的过敏!
doc47847-1|null|null|比奔驰宝马还贵!
doc47847-2|null|null|奥迪保养成本高~先想好喽!
doc47849-1|null|null|油价把奥迪逼急了
doc47865-2|null|null|但保养周期a4就没优势了5000一保。
doc47874-1|null|null|为毛我一看见奥迪的内饰就恶心……
doc47918-6|null|null|原地打方向盘很重没有奥迪一贯的轻盈!
doc47941-3|null|null|比开奥迪之类的大众脸好多了!
doc48060-2|null|null|买的时候连车的性能都还没有看
doc48073-1|null|null|你比奔驰还名贵
doc48073-2|null|null|新换的保险杠就这个质量?
doc48084-3|null|null|和低端的c180一样了!
doc48084-4|null|null|这e系现在的设计师是宝马或者奥迪的卧底吧!?
doc48135-2|null|null|奥迪算个鸟+1/奥迪算个鸟
doc48140-2|null|null|却欠缺舒适!
doc48194-1|null|null|整车的噪音还是比较大的
doc48212-1|null|null|我觉得新的a6l和a8l缺少霸气!
doc48218-4|null|null|相比较而言迈腾(虽然空间大的离谱)也不够好……
doc48233-1|null|null|还有整个通用的suv市场也是短板!
doc48269-1|null|null|和奔驰宝马还是有品牌差距的
doc48278-1|null|null|垃圾的服务…
doc48278-2|null|null|漳州奥迪盈众致远的服务态度真的是不敢恭维…
doc48309-1|null|null|奔驰的保养价格很致命啊
doc48314-1|null|null|1、奥迪a41.8t发动机不如2.0原来不一定带t就好哦。
doc48327-1|null|null|宝马后期保养太坑爹配件一般情况是不会到位的
doc48327-2|null|null|奥迪那让人蛋疼的轮毂18寸15幅轮毂也太小气了吧敢不敢大气一点啊
doc48344-1|null|null|但是奥迪你tm也无耻了!
doc48366-1|null|null|但座椅舒适度不足。
doc48402-1|null|null|看看奔驰仁浮的服务，奔驰的服务我真觉得比奇瑞差---南方都市报：花新车价钱淘来“二手货”-赶在限牌前，市民张先生买了一辆奔驰轿车。
doc48436-1|null|null|而且奥迪国内定价不厚道…
doc48443-1|null|null|强烈表示对s350无兴趣。
doc48460-1|null|null|我对奥迪已经失去信心了
doc48460-2|null|null|怎么有这样不负责任的售后
doc48461-1|null|null|不同的就是帕萨特太多气管了!
doc48483-1|null|null|奥迪比大众车还不厚道。
doc48503-1|null|null|奥迪不给力啊!
